year_added,rating_group,count,total,percentage
2016,Kids,65,428,15.186915887850466
2016,Mature,177,428,41.35514018691589
2016,Older Kids,53,428,12.383177570093459
2016,Other,29,428,6.775700934579438
2016,Teen,104,428,24.299065420560748
2017,Kids,108,1186,9.106239460370995
2017,Mature,513,1186,43.25463743676223
2017,Older Kids,187,1186,15.767284991568298
2017,Other,26,1186,2.1922428330522767
2017,Teen,352,1186,29.679595278246207
2018,Kids,134,1648,8.13106796116505
2018,Mature,779,1648,47.269417475728154
2018,Older Kids,217,1648,13.16747572815534
2018,Other,14,1648,0.8495145631067961
2018,Teen,504,1648,30.582524271844658
2019,Kids,157,2016,7.787698412698413
2019,Mature,945,2016,46.875
2019,Older Kids,279,2016,13.839285714285715
2019,Other,6,2016,0.2976190476190476
2019,Teen,629,2016,31.200396825396826
2020,Kids,227,1879,12.080894092602449
2020,Mature,859,1879,45.71580627993614
2020,Older Kids,232,1879,12.346993081426291
2020,Teen,561,1879,29.85630654603513
2021,Kids,192,1498,12.817089452603472
2021,Mature,679,1498,45.32710280373832
2021,Older Kids,155,1498,10.347129506008011
2021,Teen,472,1498,31.5086782376502
